headline,link,description,image
Everyone agrees there’s a homeless crisis in the US. Plans to address it vary among mayor candidates,https://apnews.com/article/san-francisco-election-mayor-homelessness-2024-8c0cfca3416ae564022639dd574901d4,No description found,https://dims.apnews.com/dims4/default/d41623b/2147483647/strip/true/crop/5115x3407+0+1/resize/599x399!/quality/90/?url=https%3A%2F%2Fassets.apnews.com%2Ff4%2Fb8%2F8d4d3bb9cd3bbb12c3feb6e41e96%2F060b04554a434e0595e09897aaaf7f59
A mass circumcision is marketed to tourists in a remote area of Uganda. Some are angrily objecting,https://apnews.com/article/uganda-bamasaaba-imbalu-circumcision-ritual-e2a29cfa85eb1dd8d03fcdd4b4696653,No description found,https://dims.apnews.com/dims4/default/2cd2fbf/2147483647/strip/true/crop/4500x2997+0+1/resize/599x399!/quality/90/?url=https%3A%2F%2Fassets.apnews.com%2F38%2F4d%2F4eec4fa0d864ecd5bd190b21350a%2Face8695199374ff1bd39feb0cb1c033d
"Harrison Ford, Angela Bassett, Miley Cyrus and more will be honored as Disney Legends",https://apnews.com/article/disney-legends-harrison-ford-miley-cyrus-f989ab6ae9b024b39e842281380e2fd4,No description found,https://dims.apnews.com/dims4/default/8414d65/2147483647/strip/true/crop/3000x1998+0+1/resize/599x399!/quality/90/?url=https%3A%2F%2Fassets.apnews.com%2Fbd%2F34%2F0116c438a3b59b0fdbff7d065255%2F0e1abc1cbc6e4123acea25ac81a61f89
1929,https://apnews.com/article/today-in-history-bill-clinton-joint-chiefs-of-staff-jackson-pollock-2a3f255e88493a92caa9dbc1b7b7e9f8,Babe Ruth first to 500 homers,No image found
1965,https://apnews.com/article/today-in-history-bill-clinton-joint-chiefs-of-staff-jackson-pollock-2a3f255e88493a92caa9dbc1b7b7e9f8,Watts riots begin,No image found
1973,https://apnews.com/article/today-in-history-bill-clinton-joint-chiefs-of-staff-jackson-pollock-2a3f255e88493a92caa9dbc1b7b7e9f8,The birth of hip-hop,No image found
Paris and the Olympics have changed each other during their summer fling,https://apnews.com/article/olympics-2024-paris-marchand-biles-khelif-1da49a20c1af4c83f58b370736c0e59b,"During the 2024 Olympics, crowds from Paris to Tahiti have surprised even themselves with their enthusiasm for two and a half weeks of sports.",https://dims.apnews.com/dims4/default/730d6db/2147483647/strip/true/crop/5092x3395+0+0/resize/567x378!/quality/90/?url=https%3A%2F%2Fassets.apnews.com%2F61%2Fcb%2Fd803fb880d3b544e3e1b5cb1556c%2F54fc0489ce4649aa99ab9dcfa0f08302
"Jordan Chiles has been stripped of a gymnastics bronze medal, but the USOPC says it will appeal",https://apnews.com/article/2024-olympics-gymnastics-jordan-chiles-d246c9d544faf9dfb44185ae3661e869,No description found,https://dims.apnews.com/dims4/default/b0c4e1a/2147483647/strip/true/crop/5760x3837+0+2/resize/599x399!/quality/90/?url=https%3A%2F%2Fassets.apnews.com%2F10%2F1a%2F27c14f47b08f386f5e721e06ac15%2F897c653e592140c3a9a96bb6dab606b8
Paris Olympics Memorable Moments: Simone Biles was the star but the spotlight reached many faces,https://apnews.com/article/2024-olympics-memorable-moments-6ed44690f0bc5d61f70b7c0c1c4a9705,No description found,https://dims.apnews.com/dims4/default/ca9cb05/2147483647/strip/true/crop/5616x3741+0+2/resize/599x399!/quality/90/?url=https%3A%2F%2Fassets.apnews.com%2F39%2Ff5%2F94ea1a2c570d6e99827620069c7c%2F903805411a084b1886a4ee46ccca3f8b
Sifan Hassan wins women’s marathon at Paris Olympics after trading elbows with Tigst Assefa,https://apnews.com/article/2024-olympics-marathon-women-1111dfc094501fec1d1bbbedce196e46,No description found,https://dims.apnews.com/dims4/default/23d2c4c/2147483647/strip/true/crop/6500x4330+0+2/resize/599x399!/quality/90/?url=https%3A%2F%2Fassets.apnews.com%2Fb7%2Fc2%2Fc266c748dd698b0acd315ba25cac%2Fd6ffb0de47014e85811b32702fb1b7bf
Olympic boxing champion Imane Khelif filed a legal complaint for online harassment against her,https://apnews.com/article/imane-khelif-olympics-boxing-harassment-b23090d77a89dc59ed074e6bbc189173,No description found,https://dims.apnews.com/dims4/default/af385a3/2147483647/strip/true/crop/8423x5611+0+2/resize/599x399!/quality/90/?url=https%3A%2F%2Fassets.apnews.com%2F4c%2Fbc%2F18e0318ea6c51d7228b48dd12c19%2F6ad80e987e1a461c88e588544664378e
"Parisians once scoffed at hosting the Olympics. Now, here come the conga lines",https://apnews.com/article/olympics-2024-parisians-happy-adb99e38b99a54b8aa9d07c71f75dc47,No description found,https://dims.apnews.com/dims4/default/46ae78f/2147483647/strip/true/crop/2280x1519+0+73/resize/599x399!/quality/90/?url=https%3A%2F%2Fassets.apnews.com%2F59%2Fe5%2F555baedb648edcddd45135257479%2F710fd8ab1a664541b3bab300df81cf99
"In many regions, it’s time to start turning some of the garden over to fall vegetables",https://apnews.com/article/gardening-fall-vegetables-904780aff3f3fbec1fff50926edb5596,No description found,https://dims.apnews.com/dims4/default/dc13e51/2147483647/strip/true/crop/1905x1269+0+57/resize/599x399!/quality/90/?url=https%3A%2F%2Fassets.apnews.com%2Fc9%2F48%2Fb4768340688a1b7a5d14d52921e6%2Fc5162e16e0124e62bcd65ba7d14de74c
What does a state Capitol do when its hall of fame gallery is nearly out of room? Find more space,https://apnews.com/article/north-dakota-capitol-portraits-art-130d7f3c60593a3a8acaa2f104464ac8,No description found,https://dims.apnews.com/dims4/default/f55945a/2147483647/strip/true/crop/4032x2686+0+1/resize/599x399!/quality/90/?url=https%3A%2F%2Fassets.apnews.com%2Fc8%2F2c%2F4ceae76e757db869bd618614b168%2F1945dde08c58438ab4a17ca4e5907244
Veteran human rights advocate freed in swap says Russia is sliding back toward Stalinist times,https://apnews.com/article/oleg-orlov-russia-prisoner-swap-putin-dissent-d6cb58cb5f29f6a4b3dd77f64b1bb2df,No description found,https://dims.apnews.com/dims4/default/84795c6/2147483647/strip/true/crop/9014x6004+13+0/resize/599x399!/quality/90/?url=https%3A%2F%2Fassets.apnews.com%2Fbf%2Ff1%2Fb3119703a06b798cfec03d8be199%2F026d23756662496b9ae34d559ffe73f5
How horses at the Spirit Horse Ranch help Maui wildfire survivors process their grief,https://apnews.com/article/maui-fires-lahaina-equine-therapy-horse-therapy-ffad3bdb5cd3c348a06bb495bfcef88c,No description found,https://dims.apnews.com/dims4/default/fde08c1/2147483647/strip/true/crop/7597x5060+0+2/resize/599x399!/quality/90/?url=https%3A%2F%2Fassets.apnews.com%2F9f%2F3b%2F8408d21214b7ad3aa832c67e821b%2F9b0d1d42dbd44a8095ae70b856671998
Sierra Leone not long ago still chained mental health patients. A transformation is underway,https://apnews.com/article/sierra-leone-mental-health-388663332542966cdf0b2b333e15d2bb,No description found,No image found
"In Zimbabwe, schoolchildren face threats from animals. Now they are learning how to spot the dangers",https://apnews.com/article/schoolchildren-wildlife-danger-training-animal-behavior-eba2a76eedb103d9f0493f75b55fbb09,No description found,No image found
"Meet America’s newest giant pandas, Yun Chuan and Xin Bao",https://apnews.com/article/how-many-pandas-san-diego-zoo-china-f2dd7f98663d61dff1f593f15db85687,No description found,No image found
This preschool in Alaska changed lives for parents and kids alike. Why did it have to close?,https://apnews.com/article/preschool-head-start-alaska-education-b32c3623193f2b972521922954b71dbd,No description found,No image found
One Extraordinary Photo: Vadim Ghirda captures the sunset framed by the Arc de Triomphe,https://apnews.com/article/2024-olympics-arc-de-triomphe-cdeaa4fbe2d6993f0b7683f64e9fb2fb,No description found,No image found
One Tech Tip: What to do if your personal info has been exposed in a data breach,https://apnews.com/article/tech-tip-data-breach-91461eb71bdfa5f29158740efe5fb692,No description found,No image found
One Life Hack: How to do the “no-buy year” challenge,https://apnews.com/video/one-life-hack-how-to-do-the-no-buy-year-challenge-0000018ff3d3ddcca7cff7d763920000,No description found,No image found
"Kelsea Ballerini announces new album, ‘Patterns.’ It isn’t what you’d expect: ‘I’m team no rules’",https://apnews.com/article/kelsea-ballerini-album-patterns-sorry-mom-0bd6ab2846d791638d32544dab035749,No description found,No image found
"With ‘Alien’ back in theaters, ‘Alien: Romulus’ director teases how the new film connects",https://apnews.com/article/alien-romulus-fede-alvarez-13d5a40b5d35d912db42cbdc7d187004,No description found,No image found
"Steve Martin turns down Tim Walz impersonation role on ‘SNL,’ dashing internet’s casting hopes",https://apnews.com/article/steve-martin-tim-walz-snl-7a2c6be72295e6ea270b3dda12ca3d12,No description found,No image found
How ‘Trap’ star Josh Hartnett avoided his own Hollywood trap | AP interview,https://apnews.com/video/how-trap-star-josh-hartnett-avoided-his-own-hollywood-trap-ap-interview-000001910ef6d455afd70ef721940000,No description found,No image found
"Disney thrills fans at D23 with ‘Incredibles 3' announcement, footage from ‘Moana 2'",https://apnews.com/article/d23-moana-2-disney-avatar-3-c9e5696a83264ad566498b7bfe75355a,No description found,No image found
