title,link,description,image
UK PM Starmer will be judged on how he tackles root causes of riots,/news/articles/c5ykr900my8o,Tackling the root causes of unrest - even deciding what they are - is set to be a crucial test for the new government.,https://ichef.bbci.co.uk/news/480/cpsprodpb/b09e/live/0d9a1ed0-5663-11ef-aebc-6de4d31bf5cd.png
Iconic Irani cafes serving creamy chai and fresh samosas face extinction in Indian city,/news/articles/ckg2rn0kexxo,The southern city of Hyderabad was once a centre for iconic Irani cafes - now many of them are closing down.,https://ichef.bbci.co.uk/news/480/cpsprodpb/1939/live/d91a69a0-561a-11ef-bd8b-a77ca1660c3e.jpg
Drugged and kidnapped model says people still call her a liar years on,/news/articles/cly33gx0vnxo,"Chloe Ayling tells the BBC how she dealt with victim blaming, online trolls and telling her story again.",https://ichef.bbci.co.uk/news/480/cpsprodpb/c91c/live/cef4e060-5564-11ef-aecb-49b8ad5d78f7.jpg
Meet the men promising to protect English mosques facing threats,/news/articles/c1k3npmm7n8o,A community group has sprung up in England's north-west after mosques in several cities were targeted.,https://ichef.bbci.co.uk/news/480/cpsprodpb/28c3/live/fcc63f10-5722-11ef-8f0f-0577398c3339.jpg
Palestinian horse centre vows to rebuild after West Bank demolition,/news/articles/cy68g5zz1wjo,Khaled's equestrian centre was destroyed by Israel after being built without a permit.,https://ichef.bbci.co.uk/news/480/cpsprodpb/1736/live/91d6fc60-55b2-11ef-8f0f-0577398c3339.jpg
Chinese port rocked by huge container ship blast,/news/videos/ce31y2q76lko,Surveillance footage captured the moment of the explosion at Ningbo-Zhoushan Port in Zhejiang.,https://ichef.bbci.co.uk/news/480/cpsprodpb/7648/live/07a28bc0-5645-11ef-aebc-6de4d31bf5cd.jpg
Footage posted online shows destroyed Russian convoy,/news/videos/c24p5l64dg2o,"The BBC has verified the footage, which was shared on social media by someone who was later detained.",https://ichef.bbci.co.uk/news/480/cpsprodpb/0717/live/c4c25bb0-5657-11ef-b2d2-cdb23d5d7c5b.jpg
Aerial video shows 'horror scene' after Brazil plane crash,/news/videos/ckg10mmne4mo,All 61 people on board were killed when a Voepass plane came down in São Paulo state.,https://ichef.bbci.co.uk/news/480/cpsprodpb/6cc9/live/9e82f940-56f3-11ef-aebc-6de4d31bf5cd.jpg
Watch: Huge fire engulfs 14-storey shopping centre in China,/news/videos/cn081g6182po,At least 16 people have died in the mishap at the 14-storey building.,https://ichef.bbci.co.uk/news/480/cpsprodpb/d394/live/b08ceb40-445c-11ef-b74c-bb483a802c97.jpg
When London said goodbye to the 2012 Olympics,/news/videos/cq5d209d464o,We revisit the closing ceremony of London 2012 and how the city waved off the Olympics.,https://ichef.bbci.co.uk/news/480/cpsprodpb/ca0b/live/2f2d9810-5659-11ef-aebc-6de4d31bf5cd.jpg
Trump doubles down on scary helicopter trip story,/news/articles/c985enjgdy9o,"Trump says he shared the ride with former San Francisco mayor Willie Brown who told him ""terrible things"" about Kamala Harris.",https://ichef.bbci.co.uk/news/480/cpsprodpb/e8db/live/b351f010-5662-11ef-983f-554187b31a7f.jpg
Why the 'weird' label is working for Kamala Harris,/news/articles/cwyjl912z7po,Some political experts say calling Trump “weird” effectively repackages President Biden’s “threat to democracy” theme with a light touch.,https://ichef.bbci.co.uk/news/480/cpsprodpb/e561/live/c1546060-574f-11ef-bfec-69c02f241172.jpg
Five crazy weeks as an Olympic chauffeur,/news/articles/cn0l1z904gno,Volunteer taxi driver Elisabeth Lomholdt hopes to inspire more people to get involved with events.,https://ichef.bbci.co.uk/news/480/cpsprodpb/8ab3/live/977ccf10-5656-11ef-8177-3703f85c53e5.jpg
YouTube's former chief Susan Wojcicki dies aged 56,/news/articles/c75nwnvvqr1o,"One of Google's earliest employees, Ms Wojcicki had been ill with lung cancer for two years.",https://ichef.bbci.co.uk/news/480/cpsprodpb/9624/live/e2050aa0-570c-11ef-ad53-8bb9381a8e3d.jpg
'I went to the balcony and saw the plane spinning',/news/articles/clynvpzz0n6o,"Witnesses in Vinhedo describe the moment a Voepass plane fell out of the sky, leaving 62 people dead.",https://ichef.bbci.co.uk/news/480/cpsprodpb/d477/live/fc2a2ac0-56a1-11ef-aebc-6de4d31bf5cd.jpg
Son says Hasina will return to Bangladesh,/news/articles/cy54l10z71lo,Sheikh Hasina resigned and fled to India earlier this week following massive unrest.,https://ichef.bbci.co.uk/news/480/cpsprodpb/da53/live/a73fb220-5695-11ef-8f0f-0577398c3339.png
Fisherman lands first-ever 'lost' Lego shark,/news/articles/cwy553j377do,The Devon fisherman's find came from a container lost from a cargo ship 27 years ago.,https://ichef.bbci.co.uk/news/480/cpsprodpb/cd67/live/64bd76d0-5677-11ef-b2d2-cdb23d5d7c5b.jpg
"No films, no music, no sleep: Is 'raw-dogging' long flights heroic or foolish?",/news/articles/c5y83kj3wg2o,Some flyers are giving up in-flight entertainment and even drinking water but experts warn it could be dangerous.,https://ichef.bbci.co.uk/news/480/cpsprodpb/1d97/live/4105cc40-57b9-11ef-aebc-6de4d31bf5cd.jpg
I had surgery to lengthen my legs and then it went horribly wrong,/news/articles/c0e8nd4z94jo,"A £50,000 treatment gone wrong left the 49-year-old with years of treatment and mobility issues.",https://ichef.bbci.co.uk/news/480/cpsprodpb/f49c/live/2a5202e0-5668-11ef-8e59-d7783847a3a0.png
Iconic Irani cafes serving creamy chai and fresh samosas face extinction in Indian city,/news/articles/ckg2rn0kexxo,The southern city of Hyderabad was once a centre for iconic Irani cafes - now many of them are closing down.,https://ichef.bbci.co.uk/news/480/cpsprodpb/1939/live/d91a69a0-561a-11ef-bd8b-a77ca1660c3e.jpg
Starmer will be judged on how he tackles root causes of riots,/news/articles/c5ykr900my8o,Tackling the root causes of unrest - even deciding what they are - is set to be a crucial test for the new government.,https://ichef.bbci.co.uk/news/480/cpsprodpb/b09e/live/0d9a1ed0-5663-11ef-aebc-6de4d31bf5cd.png
The Hollywood Olympics: All you need to know about Los Angeles 2028,/news/articles/cn8lyrgxvdgo,"The new sporting events, the venues, the stars, and the traffic - what to watch out for in four years.",https://ichef.bbci.co.uk/news/480/cpsprodpb/5f1d/live/d3cf6670-564d-11ef-aebc-6de4d31bf5cd.jpg
Does Japan's megaquake alert mean the 'big one' is coming?,/news/articles/cx2en927054o,An alert issued this week has caught the attention of a country used to earthquake warnings.,https://ichef.bbci.co.uk/news/480/cpsprodpb/624b/live/e630ea00-565c-11ef-8f0f-0577398c3339.jpg
First deaf Miss South Africa crowned after divisive competition,/news/articles/c1l5nrge372o,Mia le Roux says she hopes to inspire those who feel excluded from South African society.,https://ichef.bbci.co.uk/news/480/cpsprodpb/55c4/live/a83c42a0-57ea-11ef-8f0f-0577398c3339.jpg
Trump campaign says its internal messages hacked by Iran,/news/articles/c4ge30ze4dpo,"The claim, which the BBC has not independently verified, comes one day after a Microsoft report into Iranian hacking.",https://ichef.bbci.co.uk/news/480/cpsprodpb/381c/live/bd3b31d0-5753-11ef-bb99-fd58f3ca3dff.jpg
Cancer doctors and family with dog among Brazil plane crash dead,/news/articles/cvg4mjx0124o,"As investigations continue into the crash that killed 62 people, more details emerge about the victims.",https://ichef.bbci.co.uk/news/480/cpsprodpb/bb33/live/d99d36d0-57de-11ef-9e3f-35fc955c3a4d.jpg
'I went to the balcony and saw the plane spinning',/news/articles/clynvpzz0n6o,"Witnesses in Vinhedo describe the moment a Voepass plane fell out of the sky, leaving 62 people dead.",https://ichef.bbci.co.uk/news/480/cpsprodpb/d477/live/fc2a2ac0-56a1-11ef-aebc-6de4d31bf5cd.jpg
St Johnstone lead at 10-man Kilmarnock as Aberdeen host St Mirren,https://www.bbc.com/sport/football/live/cq82x37gy0nt,Listen to Sportsound and follow live text coverage as Aberdeen host St Mirren and Kilmarnock meet St Johnstone after champions Celtic beat Hibs 2-0.,https://ichef.bbci.co.uk/ace/standard/480/cpsprodpb/d2b7/live/0e10fc60-57eb-11ef-aebc-6de4d31bf5cd.jpg
Chiefs debut 'great first experience' - Rees-Zammit,/sport/american-football/articles/cr7rvj5327xo,Louis Rees-Zammit says making his debut for reigning Super Bowl champions Kansas City Chiefs was a “great first experience”.,https://ichef.bbci.co.uk/news/480/cpsprodpb/341d/live/cd1a6e50-57c5-11ef-a20d-33beea790e68.jpg
Hassan wins marathon to claim third Paris medal,/sport/olympics/articles/cyvp38y3v50o,"The Netherlands' Sifan Hassan wins a sprint finish to add marathon gold to her 5,000m and 10,000m bronze medals in Paris.",https://ichef.bbci.co.uk/news/480/cpsprodpb/3fdb/live/6c425ac0-57c0-11ef-b2d2-cdb23d5d7c5b.jpg
Slick Celtic coast to victory at toothless Hibs,https://www.bbc.com/sport/football/live/cjdk5jvy2nlt,Nicolas Kuhn and Callum McGregor are on target in a strong first-half display as Celtic earn a comfortable 2-0 win over Hibernian at Easter Road.,https://ichef.bbci.co.uk/ace/standard/480/cpsprodpb/7c04/live/6deadbd0-57da-11ef-8f0f-0577398c3339.jpg
Rublev too good for Sinner at Canadian Open,/sport/tennis/articles/c785642wdn6o,World number one Jannik Sinner is knocked out in the quarter-finals of the Canadian Open by Andrey Rublev.,https://ichef.bbci.co.uk/news/480/cpsprodpb/4fa4/live/6c16a3c0-57a8-11ef-9d31-b52a78b0caf6.jpg
Man Utd consider Ferguson move  - Sunday's gossip,/sport/football/articles/c204wjvg2qxo,"Manchester United monitor Evan Ferguson, Aston Villa keen on Giovani lo Celso, Victor Osimhen asks to leave Napoli, plus more.",https://ichef.bbci.co.uk/news/480/cpsprodpb/56c0/live/edce4650-5755-11ef-aebc-6de4d31bf5cd.png
Paris Olympics closing ceremony - what you need to know,/sport/olympics/articles/cvgxdg312l0o,The Paris Olympics will officially end with the closing ceremony on Sunday.,https://ichef.bbci.co.uk/news/480/cpsprodpb/d6b0/live/1f4175a0-57dc-11ef-81f3-f34f3895ce6c.jpg
