title,link,description,image
Moscow promises 'tough response' to Ukraine's offensive inside Russia,https://www.bbc.com/news/live/cze5n6w06j3t,russia has so far struggled to halt the ukrainian advance with more than 76 000 people evacuated from its kursk region,https://ichef.bbci.co.uk/ace/standard/480/cpsprodpb/7d90/live/00c52c70-57af-11ef-b2d2-cdb23d5d7c5b.jpg
"No films, no music, no sleep: Is 'raw-dogging' long flights heroic or foolish?",/news/articles/c5y83kj3wg2o,some flyers are giving up in flight entertainment and even drinking water but experts warn it could be dangerous,https://ichef.bbci.co.uk/news/480/cpsprodpb/1d97/live/4105cc40-57b9-11ef-aebc-6de4d31bf5cd.jpg
Iconic Irani cafes serving creamy chai and fresh samosas face extinction in Indian city,/news/articles/ckg2rn0kexxo,the southern city of hyderabad was once a centre for iconic irani cafes now many of them are closing down,https://ichef.bbci.co.uk/news/480/cpsprodpb/1939/live/d91a69a0-561a-11ef-bd8b-a77ca1660c3e.jpg
The key questions for sport after boxing eligibility row,/sport/olympics/articles/c0l8gxzw6n4o,imane khelif and lin yu ting each won gold in boxing at paris 2024 but the row over their eligibility looks set to continue,https://ichef.bbci.co.uk/news/480/cpsprodpb/8335/live/39154400-57ca-11ef-b2d2-cdb23d5d7c5b.jpg
"‘My shop in northern England was looted by rioters, then saved by strangers’",https://www.bbc.co.uk/news/resources/idt-e885e189-aee4-4250-bbfc-c7f3c52f4d48,chanaka balasuriya has been deeply affected by the violent unrest that spread across the uk but also by the acts of compassion that followed,https://ichef.bbci.co.uk/ace/standard/480/cpsprodpb/502a/live/9583a430-5774-11ef-8f0f-0577398c3339.jpg
Trump campaign says its internal messages hacked by Iran,/news/articles/c4ge30ze4dpo,the claim which the bbc has not independently verified comes one day after a microsoft report into iranian hacking,https://ichef.bbci.co.uk/news/480/cpsprodpb/381c/live/bd3b31d0-5753-11ef-bb99-fd58f3ca3dff.jpg
App to reduce deaths by elephants launched in India,/news/articles/cy4yp0zy39lo,conservationists say elephants are becoming more aggressive because their habitats are shrinking,https://ichef.bbci.co.uk/news/480/cpsprodpb/4a51/live/b82e4b70-57ba-11ef-aebc-6de4d31bf5cd.jpg
I had surgery to lengthen my legs and then it went horribly wrong,/news/articles/c0e8nd4z94jo,a 50 000 treatment gone wrong left the 49 year old with years of treatment and mobility issues,https://ichef.bbci.co.uk/news/480/cpsprodpb/f49c/live/2a5202e0-5668-11ef-8e59-d7783847a3a0.png
Son says Hasina will return to Bangladesh,/news/articles/cy54l10z71lo,sheikh hasina resigned and fled to india earlier this week following massive unrest,https://ichef.bbci.co.uk/news/480/cpsprodpb/da53/live/a73fb220-5695-11ef-8f0f-0577398c3339.png
First deaf Miss South Africa crowned after divisive competition,/news/articles/c1l5nrge372o,mia le roux says she hopes to inspire those who feel excluded from south african society,https://ichef.bbci.co.uk/news/480/cpsprodpb/55c4/live/a83c42a0-57ea-11ef-8f0f-0577398c3339.jpg
